stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
73	40.6	0.103996	1.48362	0.934495	0.898395	1.79658	1.78571	1.00608	0.162432	0.274734	0.147357	1.08768	0.5551	0.903405	0.990291	0.952055	0.0639011	0.138958	stair	0	ground
74	41.16	-0.23199	1.29703	0.848275	0.920213	1.75529	1.78571	0.982962	0.17994	0.384321	0.122681	0.905539	0.776522	0.882643	0.990291	0.944617	0.0661302	0	stair	0	ground
75	41.72	0.426849	1.47676	0.775768	0.885199	1.80116	1.78571	1.00865	0.25285	0.682913	0.169532	1.25136	1.37983	0.905707	0.990291	0.92763	0.0792465	0	stair	0	ground
76	42.26	-0.196912	1.13943	0.852648	0.873259	1.79086	1.78571	1.00288	0.188881	0.70913	0.0929626	0.686179	1.4328	0.900531	0.990291	0.944347	0.0769394	0	ground	0	ground
77	42.82	0.267664	1.1621	0.812791	0.844795	1.73312	1.85185	0.935884	0.179976	0.465128	0.0878007	0.671717	0.945485	0.854002	1.02421	0.943242	0.073813	0	ground	0	ground
78	43.38	-0.0915108	1.22388	0.93043	0.843982	1.74252	1.78571	0.975811	0.19387	0.364449	0.084506	0.670202	0.760541	0.9003	0.988851	0.939866	0.161746	0	ground	0	ground
79	43.94	-0.162506	1.42542	0.897661	0.85386	1.74614	1.78571	0.977837	0.187991	0.213683	0.0824105	0.677037	0.472075	0.911082	0.989954	0.941893	0.118372	0	ground	0	ground
80	44.5	0.14915	1.55857	0.912661	0.881238	1.74544	1.78571	0.977448	0.14513	0.338907	0.0600757	0.519877	0.768023	0.918924	0.99095	0.954454	0.0901497	0	ground	0	ground
81	45.04	0.569828	1.25409	0.68758	0.848225	1.79962	1.85185	0.971797	0.143812	0.519305	0.0904916	0.800449	1.15639	0.921573	1.02482	0.957481	0.0943495	0	ground	0	ground
82	45.6	-0.0922952	1.45114	0.940201	0.873707	1.7603	1.78571	0.985769	0.203682	0.690823	0.0883358	0.798844	1.45974	0.940956	0.989383	0.938301	0.0844456	0	ground	0	ground
83	46.16	-0.412932	1.55827	0.790518	0.845724	1.81377	1.78571	1.01571	0.171708	0.33806	0.122872	1.09895	0.735343	0.972498	0.990435	0.950197	0.0982502	0	ground	0	ground
84	46.72	-0.207912	1.87702	0.900278	0.846248	1.81544	1.85185	0.98034	0.165593	0.378991	0.154621	1.3319	0.839113	0.944429	1.02434	0.951998	0.103254	0	ground	0	ground
85	47.26	0.0615609	1.15379	0.949347	0.853585	1.78968	1.78571	1.00222	0.168381	0.7718	0.173843	1.42652	1.59571	0.968851	0.988967	0.950015	0.0938814	0	ground	0	ground
86	47.82	-0.0464523	1.30001	0.9655	0.909169	1.78285	1.85185	0.96274	0.200869	0.181788	0.0866869	0.732479	0.400871	0.937179	1.02298	0.940527	0.0863401	0	ground	0	ground
87	48.38	0.554789	0.96235	0.634319	0.847992	1.75614	1.72414	1.01856	0.17825	0.68957	0.20746	1.63022	1.44536	0.99236	0.95698	0.94536	0.0778352	0	ground	0	ground
88	48.94	-0.193516	1.34381	0.874121	0.864713	1.77094	1.78571	0.991726	0.164227	0.839923	0.171048	1.29939	1.63608	0.969491	0.992035	0.95016	0.140183	0	ground	0	ground
89	49.5	-0.0917799	1.52455	0.943217	0.873301	1.77405	1.85185	0.957987	0.117471	0.207409	0.10437	0.809632	0.429616	0.942493	1.02582	0.964011	0.176814	0	ground	0	ground
90	50.04	-0.189337	1.29466	0.872414	0.857914	1.75479	1.78571	0.982683	0.190024	0.249735	0.111342	0.875644	0.543524	0.97001	0.990259	0.941836	0.0823219	0	ground	0	ground
91	50.6	0.337771	1.4178	0.8076	0.826334	1.78808	1.78571	1.00132	0.172554	0.5413	0.12971	1.01806	1.15747	0.989558	0.991224	0.948613	0.0880872	0	ground	0	ground
92	51.16	0.0626449	1.56984	0.961626	0.891795	1.78546	1.85185	0.964147	0.161996	0.314344	0.0506046	0.422659	0.694951	0.957335	1.02507	0.951611	0.0769339	0	ground	0	ground
93	51.72	-0.248428	1.46233	0.854785	0.887928	1.78397	1.78571	0.999024	0.166656	0.329127	0.0531667	0.470199	0.748007	0.992763	0.989605	0.950017	0.0746563	0	ground	0	ground
94	52.28	0.152855	1.27339	0.892826	0.87785	1.77465	1.78571	0.993803	0.138971	0.443539	0.0592769	0.550423	1.00722	0.988803	0.990634	0.957709	0.0850781	0	ground	0	ground
95	52.82	0.365214	1.1721	0.762434	0.855854	1.75527	1.78571	0.982953	0.153881	0.235278	0.069102	0.665504	0.560385	0.980163	0.991563	0.952427	0.077837	0	ground	0	ground
96	53.38	0.320051	1.20054	0.789521	0.852238	1.78819	1.78571	1.00138	0.211881	0.0533693	0.0718967	0.714392	0.139272	0.998688	0.9924	0.937851	0.0722732	0	ground	0	ground
97	53.94	0.0237696	1.42606	0.983605	0.856634	1.81261	1.78571	1.01506	0.173124	0.372345	0.0630312	0.650615	0.974426	1.01108	0.993155	0.949905	0.109094	0	ground	0	ground
98	54.5	-0.142329	1.45251	0.910756	0.867828	1.75794	1.78571	0.984449	0.16744	0.168191	0.0484865	0.526797	0.46626	0.982496	0.993835	0.948569	0.110117	0	ground	0	ground
99	55.06	-0.364018	1.62339	0.816838	0.852631	1.72904	1.78571	0.968263	0.205976	0.279906	0.104569	1.12086	0.793738	0.969606	0.994448	0.935469	0.04671	0	ground	0	ground
