time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.152	1.61522	0.188837	-0.918869	1.63154	-0.0252955	0.0498704	0.855851	1.38928	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.13579	1.27658	-0.140791	ground	0	ground	0	-1	1
1.173	1.81985	-0.306398	-0.661998	1.82699	-0.517928	0.305208	0.581824	1.80766	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.09426	1.3077	-0.21344	ground	0	ground	0	-1	1
1.192	1.83681	-0.636828	-0.420255	1.83473	-0.844116	0.544216	0.339967	1.99078	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.06676	1.34329	-0.276537	ground	0	ground	0	-1	1
1.212	1.67193	-0.594575	-0.243866	1.6615	-0.797854	0.717002	0.309523	1.81696	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.04927	1.36829	-0.319017	ground	0	ground	0	-1	1
1.232	1.39534	-0.384265	-0.318854	1.37799	-0.584606	0.638804	0.331736	1.45965	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	1.02874	1.37471	-0.34597	ground	0	ground	0	-1	1
1.252	1.00602	-0.012604	-0.64962	0.983727	-0.21188	0.306498	0.411731	0.918199	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	0.992633	1.35629	-0.363661	ground	0	ground	0	-1	1
1.273	0.708745	0.036196	-0.61024	0.683018	-0.162265	0.344148	0.276412	0.645322	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	0.960208	1.32358	-0.363372	ground	0	ground	0	-1	1
1.292	0.519151	-0.158419	-0.001145	0.490957	-0.355096	0.948477	0.010499	0.605823	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	0.959622	1.2877	-0.328075	ground	0	ground	0	-1	1
1.312	0.376473	-0.361822	0.166255	0.346538	-0.555706	1.1103	-0.234625	0.611432	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	0.967156	1.25606	-0.288901	ground	0	ground	0	-1	1
1.332	0.005652	-0.383397	0.00875	-0.0241618	-0.574395	0.948029	-0.471592	0.328807	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	0.966199	1.222	-0.2558	ground	0	ground	0	-1	1
