dataset	stepIdx	gt	nSamples	trajAngle	aspectRatio	zRange	yRange	zDominance	netZ	netY	loopArea	rmsY	rmsZ
살살걸음	47	ground	29	65.5717	2.1995	6.6252	4.0748	0.6192	0.0859	0.8085	10.1709	1.0602	1.6816
살살걸음	48	ground	31	68.5276	1.9518	5.9252	3.3486	0.6389	0.4373	-1.8323	6.4316	0.9680	1.5333
살살걸음	49	ground	28	69.0879	2.4776	5.2207	3.3700	0.6077	-0.5626	2.1621	1.1044	0.9149	1.6625
살살걸음	50	ground	31	60.8896	1.4880	4.8937	4.0518	0.5471	0.8090	-1.8919	5.3638	1.1671	1.4269
살살걸음	51	ground	28	64.7602	3.3982	6.5997	4.7515	0.5814	-1.1636	1.9288	6.0287	0.9923	1.8033
살살걸음	52	ground	31	68.9882	2.0527	6.3548	4.2481	0.5993	1.1452	-2.3926	7.5322	1.0609	1.7401
살살걸음	53	ground	28	61.1442	3.6730	5.5365	3.4435	0.6165	-1.2154	1.8470	3.2178	0.8573	1.4191
살살걸음	54	ground	31	62.1301	1.6174	5.5363	3.5143	0.6117	0.7879	-1.8831	7.1900	1.0630	1.3755
살살걸음	55	ground	28	66.8716	2.9128	6.0927	3.7686	0.6178	-0.4776	2.4561	5.3285	0.8960	1.6519
살살걸음	56	ground	30	73.2576	1.7886	5.3898	3.4102	0.6125	0.2152	-1.9073	4.7951	1.0165	1.5974
