time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.931	0.607467	0.05643	-0.345078	0.603412	0.270092	0.641575	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.03373	0.563586	0.470142	ground	0	ground	0	-1	1
1.949	0.397831	0.003234	-0.115211	0.391807	0.215812	0.867084	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.0254	0.557772	0.467624	ground	0	ground	0	-1	1
1.968	0.342487	0.176245	-0.24157	0.334781	0.386878	0.737022	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	1.01098	0.555465	0.455513	ground	0	ground	0	-1	1
1.987	0.378818	0.233131	-0.397722	0.369256	0.441546	0.577965	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.989327	0.556471	0.432855	ground	0	ground	0	-1	1
2.006	0.344504	0.164558	-0.355866	0.333268	0.371108	0.616722	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.970697	0.553587	0.417109	ground	0	ground	0	-1	1
2.026	0.188623	0.085765	-0.233946	0.1765	0.290853	0.734949	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.958909	0.542919	0.415991	ground	0	ground	0	-1	1
2.045	-0.051106	0.173699	-0.015814	-0.0629132	0.376893	0.948316	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.958379	0.534878	0.423501	ground	0	ground	0	-1	1
2.064	0.046216	0.201565	-0.019802	0.0342368	0.402735	0.939606	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.957441	0.528344	0.429097	ground	0	ground	0	-1	1
2.083	0.225848	0.099649	-0.019153	0.212799	0.299315	0.935554	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.956346	0.520289	0.436058	ground	0	ground	0	-1	1
2.103	0.231605	0.057659	0.051654	0.217464	0.256039	1.00133	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.958596	0.511071	0.447525	ground	0	ground	0	-1	1
2.122	0.044033	0.062996	0.133095	0.0297422	0.260069	1.07736	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.964534	0.498605	0.465928	ground	0	ground	0	-1	1
2.141	-0.070348	0.092882	0.080488	-0.0842156	0.288505	1.01963	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.967288	0.488702	0.478586	ground	0	ground	0	-1	1
2.161	-0.113904	0.134041	-0.064642	-0.127133	0.328016	0.870123	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.96243	0.481857	0.480573	ground	0	ground	0	-1	1
2.18	0.032617	0.03871	-0.137371	0.0192913	0.231521	0.793407	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.953979	0.46938	0.484599	ground	0	ground	0	-1	1
2.199	0.110056	-0.144739	0.075365	0.0962467	0.0478319	1.00111	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.956335	0.451285	0.50505	ground	0	ground	0	-1	1
2.218	0.07479	-0.170641	-0.059754	0.0606758	0.0218203	0.861663	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.951602	0.431945	0.519657	ground	0	ground	0	-1	1
2.237	0.002085	-0.0411	-0.227305	-0.0119691	0.150604	0.690642	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.938554	0.417902	0.520652	ground	0	ground	0	-1	1
2.256	0.051133	0.084521	-0.255527	0.0368935	0.274844	0.659108	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.924582	0.410872	0.51371	ground	0	ground	0	-1	1
2.275	0.133813	0.052944	-0.171939	0.118976	0.242051	0.738982	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.915302	0.403814	0.511488	ground	0	ground	0	-1	1
2.295	0.104574	0.095193	-0.03439	0.089288	0.282879	0.872148	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.913144	0.398455	0.514689	ground	0	ground	0	-1	1
2.314	0.011009	0.093313	0.128787	-0.00425564	0.279594	1.03015	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.918994	0.392513	0.526481	ground	0	ground	0	-1	1
2.333	-0.001581	0.115649	0.114659	-0.0167614	0.30042	1.01094	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.923591	0.387932	0.535659	ground	0	ground	0	-1	1
2.352	0.003021	0.186878	0.065798	-0.0120986	0.369791	0.957269	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.925275	0.387035	0.53824	ground	0	ground	0	-1	1
2.372	0.074623	0.223265	-0.086805	0.0592059	0.404147	0.800643	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.919044	0.388106	0.530937	ground	0	ground	0	-1	1
2.391	0.175237	0.147378	-0.12456	0.159021	0.326618	0.759074	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.911045	0.386865	0.524181	ground	0	ground	0	-1	1
2.411	0.180801	-0.003486	-0.015423	0.163762	0.174876	0.863869	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.908686	0.3795	0.529186	ground	0	ground	0	-1	1
2.43	0.241959	-0.068854	-0.058405	0.223795	0.10896	0.816783	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.904091	0.372971	0.53112	ground	0	ground	0	-1	1
2.449	0.167412	-0.036341	-0.111675	0.148502	0.140766	0.759695	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.896871	0.364553	0.532318	ground	0	ground	0	-1	1
2.468	0.106165	-0.119707	-0.043539	0.0868187	0.0571128	0.823692	1	0	1	1	0	1.29418	2.65832	1.44509	1.8702	0	99	0.405935	0.750188	0.893213	0.351522	0.541691	ground	0	ground	0	-1	1
