stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
101	63.75	0.844085	0.576137	0.405667	0.629123	2.24768	1.71821	1.30815	1.78702	1.45776	0.577495	0.713211	1.27472	1.45687	1.08148	0.871461	0.736325	0.145384	0.65	stair	0	ground
102	64.37	-0.499453	1.93669	0.794982	0.737369	1.50203	1.77936	0.84414	1.99684	1.91212	0.501603	0.619484	1.67202	0.94011	1.11997	0.807956	0.528966	0.112602	0.65	stair	0	ground
103	64.914	0.321275	1.64391	0.836517	0.714396	1.88088	1.72117	1.09279	1.34577	0.871384	0.495923	0.612469	0.761969	1.21703	1.08334	0.828886	0.722147	0.10547	0.75	stair	0	ground
104	65.555	0.433165	0.588798	0.576143	0.706653	1.48024	1.77936	0.831893	2.41685	1.06103	0.552663	0.682543	0.927804	0.92647	1.11997	0.830055	0.475344	0.125015	0.25	stair	0	ground
105	66.121	-0.476168	0.587939	0.552518	0.633165	1.85309	1.55521	1.19154	1.0614	0.909334	0.638045	0.787991	0.795154	1.327	0.978884	0.831449	0.762908	0.0434113	0.75	stair	0	ground
106	66.697	-0.945686	1.35536	0.589018	0.669836	1.47043	2.07469	0.708746	1.7666	0.899652	0.579719	0.715958	0.786688	0.789322	1.30586	0.898924	0.550118	0.031149	0.05	stair	0	ground
107	67.285	0.528964	0.52443	0.497847	0.610409	2.16309	1.46628	1.47523	2.82126	1.69264	0.555176	0.685647	1.4801	1.64294	0.922907	0.865913	0.622923	0.184741	0	ground	0	ground
108	67.971	-0.146763	0.973251	0.868963	0.616898	1.47303	1.55763	0.945682	1.50264	0.811201	0.408048	0.530246	0.730578	1.04762	0.982333	0.884811	0.590228	0.200877	0.4	ground	0	ground
109	68.488	0.365145	0.400024	0.522791	0.606227	1.72487	1.72117	1.00215	1.71897	0.76853	0.415802	0.566355	0.714132	1.09808	1.07627	0.886327	0.632808	0.239189	0.8	ground	0	ground
110	69.13	-0.513983	1.80831	0.778674	0.651458	1.49593	1.72414	0.867639	1.46595	1.66016	0.571486	0.79605	1.46325	0.955403	1.06977	0.803875	0.604175	0.267362	0.75	stair	0	ground
111	69.653	0.690191	-0.0793223	0.103081	0.554271	2.10702	1.78253	1.18204	1.33891	2.23901	0.606515	0.844844	1.97344	1.3016	1.106	0.799874	0.767457	0.142004	0.65	stair	0	ground
112	70.291	-0.255853	0.790558	0.755494	0.6058	1.61347	1.72414	0.935813	1.18303	1.28518	0.58694	0.817577	1.13275	1.03047	1.06977	0.812986	0.686139	0.174054	0.75	stair	0	ground
113	70.913	0.336266	0.585308	0.635117	0.559031	1.91342	1.5625	1.22459	1.00744	0.626684	0.584422	0.814069	0.552353	1.34846	0.969478	0.806728	0.783325	0.244265	0.75	stair	0	ground
114	71.673	-0.580776	1.32268	0.694884	0.59345	1.05433	1.4245	0.740142	0.74361	1.17673	0.661615	0.921594	1.03716	0.815009	0.883854	0.843043	0.587089	0.22161	0.4	stair	0	ground
115	72.393	0.0988678	0.548826	0.847353	0.607186	1.54826	1.31579	1.17668	1.0917	1.02994	0.400511	0.55789	0.907775	1.29571	0.816402	0.68513	0.686244	0.266675	0.8	stair	0	down
116	73.175	-0.13629	1.22865	0.900149	0.766599	1.65237	1.24844	1.32355	1.17191	0.719348	0.201446	0.280604	0.634026	1.45743	0.774614	0.522107	0.699645	0.0304471	0.8	stair	0	down
117	73.912	-1.04733	2.43811	0.699513	0.755403	1.78529	1.84843	0.96584	0.974511	1.5142	0.713972	0.994525	1.3346	1.06354	1.14689	0.721434	0.764897	0.070647	0.5	stair	0	down
118	74.569	0.703717	0.599324	0.459942	0.720368	2.63127	1.35135	1.94714	0.749369	2.53916	0.820521	1.14294	2.23799	2.1441	0.838467	0.783018	0.90216	0.173575	0.5	ground	0	down
119	75.255	-0.936606	2.12338	0.693918	0.720175	2.16455	1.46843	1.47406	1.1182	2.23906	1.02912	1.37395	1.79841	1.52795	0.919281	0.888996	0.806916	0.212632	0.6	ground	0	down
120	75.855	0.481024	0.477043	0.497922	0.650289	2.50271	1.35318	1.8495	1.05136	2.17258	1.13279	1.43865	1.62402	1.75606	0.860283	0.920811	0.855911	0.198469	0.7	stair	0	down
