stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
78	44.312	-0.0845127	1.36865	0.941841	0.800471	1.52836	1.78571	0.855884	0.743081	0.312856	0.260456	0.490032	0.309747	0.932788	1.00151	0.896194	0.756884	0.064569	0.9	stair	0	up
79	44.911	0.238785	1.4814	0.861185	0.904423	1.78012	1.61551	1.10189	0.952056	0.342395	0.113866	0.214232	0.338992	1.2009	0.906047	0.938516	0.766969	0.240219	1	stair	0	up
80	45.567	-0.542591	1.53589	0.738948	0.876664	1.48676	1.61551	0.920302	1.55507	0.783275	0.140643	0.264612	0.775491	1.00299	0.906047	0.945242	0.584154	0.211317	0.9	stair	0	up
81	46.098	0.111653	0.880822	0.8875	0.872559	2.03844	1.56495	1.30256	0.687113	0.925825	0.134842	0.253697	0.916625	1.4196	0.877689	0.97582	0.858004	0.166742	1	stair	0	up
82	46.867	-0.835899	1.63731	0.662017	0.818298	1.36892	1.7301	0.791238	1.39928	1.21249	0.234459	0.44112	1.20044	0.862333	0.970317	0.982808	0.569641	0.16909	0.4	stair	0	ground
83	47.469	-0.429173	1.93212	0.818247	0.793579	1.30706	1.38889	0.941084	0.740084	0.502338	0.282498	0.531504	0.497346	1.02564	0.778949	0.958766	0.697553	0.18413	0.8	stair	0	ground
84	47.966	-0.410333	0.865652	0.678418	0.757026	1.42535	1.7301	0.823855	1.52419	1.06664	0.275888	0.519066	1.05604	0.897881	0.970317	0.952756	0.568615	0.141826	0.5	stair	0	ground
85	48.607	-0.229884	1.54453	0.870445	0.783325	1.45488	1.78571	0.814736	1.99922	0.702454	0.276942	0.52105	0.695474	0.887942	1.00151	0.897284	0.51427	0.0455542	0.6	stair	0	ground
86	49.123	0.0100191	1.72455	0.994223	0.80467	1.55747	1.72712	0.901775	2.51708	0.299934	0.207575	0.39054	0.296953	0.982803	0.968641	0.852776	0.488117	0.127409	0.1	stair	0	ground
87	49.683	-0.0812273	0.937271	0.920247	0.856316	1.43547	1.72712	0.831137	1.96891	0.792551	0.212187	0.399216	0.784676	0.905818	0.968641	0.852899	0.501993	0.156774	0.4	ground	0	ground
88	50.4	0.706145	0.798563	0.530709	0.798809	1.44972	1.56495	0.926374	2.3879	0.799497	0.291806	0.574944	0.808403	1.00864	0.888557	0.836074	0.463368	0.142765	0.4	ground	0	up
89	51	0.761421	0.489959	0.391534	0.741432	1.40728	1.6129	0.872515	0.832773	0.313515	0.388597	0.784024	0.340246	0.954774	0.923564	0.837592	0.702868	0.151469	0.55	ground	0	up
90	51.66	0.860116	1.51969	0.638577	0.695058	1.55541	1.51745	1.02501	1.46468	1.03445	0.372418	0.770539	1.10905	1.10817	0.880449	0.942	0.622823	0.135874	0.85	ground	0	up
91	52.237	-0.326261	1.12218	0.77475	0.651164	1.43828	1.72712	0.832762	0.862087	1.2512	0.355995	0.756489	1.29714	0.909386	1.00189	0.933055	0.705809	0.178559	0.85	stair	0	up
92	52.816	0.113757	1.39745	0.924724	0.652059	1.7379	1.72712	1.00625	1.31752	0.519025	0.352997	0.750119	0.538082	1.09883	1.00189	0.940563	0.696072	0.229652	0.85	stair	0	up
93	53.397	0.128583	1.23799	0.905908	0.727099	2.08282	1.66945	1.24761	0.813124	0.160143	0.324928	0.690472	0.166023	1.3624	0.968438	0.939118	0.842132	0.0857224	0.85	stair	0	up
94	53.996	0.115441	1.73348	0.937562	0.836304	2.12226	1.67224	1.26911	1.13344	0.495664	0.191798	0.407572	0.513863	1.38589	0.970057	0.934717	0.798935	0.0643486	1	stair	0	up
95	54.623	-0.588003	1.0103	0.632108	0.83501	2.14762	1.6129	1.33153	1.15543	1.00887	0.14997	0.318686	1.04591	1.45404	0.935636	0.956763	0.799635	0.155405	1	stair	0	up
96	55.231	-0.35855	0.903835	0.715974	0.823255	2.09399	1.72712	1.21242	1.41847	0.252951	0.176096	0.374204	0.262238	1.32398	1.00189	0.955927	0.755536	0.164335	1	stair	0	up
97	55.812	-0.249359	0.840498	0.771199	0.79255	1.99202	1.5625	1.27489	0.972232	0.126231	0.181822	0.386372	0.130865	1.3922	0.906397	0.931182	0.803041	0.129012	1	stair	0	up
98	56.45	-0.736412	0.882178	0.545028	0.720374	1.67114	1.72117	0.970931	1.78396	0.488833	0.19823	0.421239	0.506781	1.06027	0.998441	0.933666	0.610046	0.0438022	0.9	stair	0	up
99	57.132	-0.464887	1.29005	0.735097	0.679881	2.39026	1.66667	1.43415	0.971795	0.489982	0.0554635	0.11786	0.507973	1.56611	0.966824	0.959659	0.854321	0.157818	1	stair	0	ground
100	57.673	-0.133636	0.593594	0.816238	0.716707	1.77291	1.42653	1.24281	2.15362	0.771215	0.0923927	0.196334	0.799532	1.35716	0.827524	0.952524	0.593001	0.145606	0.7	stair	0	ground
101	58.34	0.448617	-0.287485	0.39055	0.651623	1.60719	1.84162	0.872704	1.50588	1.05609	0.432547	0.919161	1.09486	0.953003	1.06831	0.886452	0.631557	0.098969	0.3	stair	0	ground
102	58.843	-0.23095	0.985546	0.810151	0.659413	1.88914	1.61551	1.16938	2.33027	1.44306	0.446057	0.947871	1.49604	1.27697	0.937147	0.886897	0.603057	0.0836928	0.3	ground	0	ground
103	59.414	0.35319	1.92712	0.845113	0.71943	1.62687	1.91205	0.850854	1.64777	1.10805	0.666317	1.35938	1.1319	0.935773	1.09719	0.853634	0.61625	0.0751273	0.5	ground	0	ground
104	59.936	-0.142459	0.693425	0.829569	0.738324	2.10292	1.72414	1.21969	2.44876	1.32954	0.587998	1.17613	1.31119	1.29713	0.990415	0.82499	0.643457	0.0796351	0.5	ground	0	ground
105	60.538	0.804122	1.85911	0.698065	0.71469	1.7933	1.78253	1.00604	1.31004	1.50161	0.817109	1.5369	1.41294	1.06249	1.02151	0.827415	0.71055	0.125405	0.6	ground	0	ground
106	61.08	0.59619	0.53779	0.47425	0.73143	1.89659	1.72117	1.10192	1.60168	1.33758	0.504752	0.954216	1.22687	1.145	0.987696	0.818359	0.689445	0.0743461	0.5	ground	0	ground
107	61.642	1.44562	1.24873	0.463461	0.662092	1.52726	1.78571	0.855268	1.83762	1.10768	0.60295	1.12413	1.01438	0.898707	1.02221	0.818931	0.557152	0.0561042	0.1	ground	0	ground
108	62.204	0.489986	0.321796	0.396407	0.57235	1.90213	1.77936	1.069	2.31482	1.33133	0.571427	1.05844	1.19304	1.10961	1.01668	0.776775	0.60239	0.0217176	0	ground	0	ground
109	62.804	0.321005	0.962951	0.749987	0.556434	1.29236	1.78253	0.725016	2.08269	0.663049	0.446864	0.842229	0.619307	0.771655	1.01661	0.733513	0.443651	0.0180114	0	ground	0	ground
110	63.452	0.628155	2.33865	0.788272	0.574475	1.42208	1.77936	0.799207	2.13311	1.40957	0.650955	1.19967	1.27618	0.863518	1.0133	0.704191	0.482516	0.0232444	0	ground	0	ground
111	63.931	0.414426	1.17125	0.738643	0.627354	1.93921	1.72117	1.12668	2.54781	1.18681	0.589825	1.07764	1.06655	1.19145	0.982114	0.788734	0.595145	0.0722034	0	ground	0	ground
112	64.51	-0.605255	0.204895	0.252909	0.585244	1.79348	1.72414	1.04022	1.17558	1.40484	0.775794	1.36061	1.2302	1.08912	0.985403	0.775004	0.731596	0.0222942	0.5	ground	0	ground
113	65.107	-0.288589	1.53164	0.841454	0.674253	1.34315	1.78253	0.753505	1.81643	1.36401	0.70397	1.20634	1.17166	0.80594	1.01687	0.924817	0.498209	0.0229336	0	ground	0	ground
