stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
97	55.793	-1.15901	-0.330842	0.222063	0.672682	2.42667	1.78253	1.36136	2.35951	2.93376	1.60675	0.280202	1.13749	0.967746	1.00887	0.971818	0.709563	0.076341	0.9	stair	0	ground
98	56.494	0.105966	1.72877	0.942244	0.733119	1.96149	1.42857	1.37304	1.95634	2.41706	1.62911	0.284101	0.937147	0.976046	0.808534	0.921241	0.661129	0.0717566	0.9	stair	0	ground
99	57.114	1.90656	0.544372	0.222108	0.592213	2.36819	1.85185	1.27882	4.20887	2.15522	2.65002	0.462137	0.835625	0.90907	1.0481	0.930845	0.571161	0.184954	0.2	stair	0	ground
100	57.595	-0.492003	2.50494	0.835832	0.581335	2.27569	1.78253	1.27666	6.57221	3.0979	2.60675	0.454592	1.20112	0.907533	1.00887	0.909417	0.43441	0.129711	0.4	ground	0	ground
101	58.135	1.08118	1.32152	0.550016	0.554452	2.07104	1.91939	1.07901	4.78405	1.9686	2.14883	0.399728	0.781777	0.785326	1.07703	0.910665	0.472723	0.138543	0.2	ground	0	ground
102	58.698	0.352384	2.13954	0.858589	0.681758	2.19507	1.72117	1.27534	6.04871	1.09558	1.14863	0.231905	0.46113	0.934929	0.969115	0.913124	0.443064	0.116985	0.2	ground	0	ground
103	59.299	-0.365774	0.482226	0.568662	0.607041	1.93136	1.92308	1.00431	6.29369	1.80622	1.48399	0.322178	0.778916	0.756186	1.07391	0.967717	0.371209	0.0942075	0.2	ground	0	ground
104	59.781	-1.06614	0.899809	0.457698	0.654159	2.67528	1.77936	1.50351	6.99815	0.815403	1.11996	0.263055	0.376014	1.1173	0.994283	0.957735	0.505598	0.0835059	0.2	ground	0	ground
105	60.421	-1.26592	2.98863	0.702454	0.627484	1.64557	1.72414	0.954433	2.41054	2.09835	1.57548	0.394927	0.970775	0.730506	0.966962	0.972887	0.529027	0.0663105	0.5	ground	0	ground
106	60.902	0.152619	1.04083	0.872118	0.691904	1.86247	1.84843	1.0076	2.90965	2.40961	1.25804	0.338532	1.10212	0.789254	1.03288	0.973285	0.543389	0.0838245	0.2	ground	0	ground
107	61.541	0.185435	0.672374	0.783826	0.676952	1.44731	1.78253	0.81194	2.24677	0.36991	1.18476	0.342116	0.184522	0.660021	0.996452	0.972131	0.48163	0.191895	0.5	ground	0	ground
108	62.062	0.484028	2.58285	0.842176	0.731654	1.497	1.66389	0.899697	3.62847	1.93367	1.42522	0.437284	0.968004	0.751547	0.936676	0.987659	0.381182	0.185151	0.2	ground	0	ground
109	62.622	0.159542	1.91356	0.923041	0.824723	1.86214	1.91939	0.970173	1.33224	0.743804	1.15649	0.379304	0.397287	0.82608	1.07187	0.974807	0.722275	0.276804	1	ground	0	ground
110	63.084	0.215003	2.25247	0.912865	0.866805	2.20858	1.99601	1.1065	4.24758	0.343414	0.539552	0.192833	0.199737	0.947638	1.10203	0.969414	0.532691	0.297153	0.6	stair	0	ground
111	63.732	-0.261559	1.65474	0.863508	0.865083	1.67675	1.66389	1.00773	2.74407	0.764453	0.481657	0.172142	0.444622	0.86305	0.918662	0.957313	0.506059	0.108232	0.4	stair	0	ground
112	64.269	-0.252343	0.0819534	0.245151	0.757348	1.67967	1.78253	0.942293	4.91818	1.57281	0.832927	0.297683	0.914783	0.807008	0.984164	0.95615	0.363895	0.186177	0.2	ground	0	ground
113	64.848	-0.66986	2.14252	0.761817	0.741276	1.78636	1.85529	0.96285	2.49438	2.10244	0.729386	0.28149	1.19617	0.839335	1.02185	0.74152	0.560737	0.222974	0.5	ground	0	ground
114	65.546	0.556684	7.56224	0.931434	0.742955	2.50672	1.78571	1.40376	1.24732	5.55678	6.59893	2.20557	2.5996	1.19691	0.985151	0.728923	0.831706	0.01961	0.5	ground	0	down
115	66.087	0.147791	4.45891	0.967918	0.753966	3.83527	1.56495	2.45074	2.47775	3.13016	6.94139	2.04949	1.39938	1.8843	0.875317	0.761099	0.855599	0.061788	0.4	ground	0	down
116	66.63	1.22029	5.10722	0.807145	0.742693	4.26442	1.72117	2.47763	4.07692	1.25322	6.99518	1.86652	0.586041	1.74688	0.966302	0.744037	0.816867	0.0288263	0.1	ground	0	down
117	67.167	-0.902264	5.34894	0.855666	0.864796	4.39457	1.72712	2.54445	2.00475	2.13628	3.63724	0.973391	0.999083	1.66204	0.972593	0.766585	0.905162	0.281518	0.4	ground	0	down
118	67.687	-0.781578	2.175	0.735648	0.859562	4.60221	1.85529	2.48059	4.00455	3.17624	3.63635	0.975774	1.41667	1.52568	1.04011	0.978413	0.840973	0.233909	0.3	ground	0	down
119	68.246	-0.808301	7.58746	0.903725	0.85402	4.45477	2.00401	2.22293	2.06987	5.41252	3.68347	0.989563	2.11502	1.31878	1.10978	0.978391	0.905109	0.256289	0.6	ground	0	down
120	68.804	0.12795	5.05991	0.975336	0.855504	4.29045	2	2.14523	2.57131	2.69537	3.6238	0.976115	1.04768	1.2389	1.09578	0.984787	0.877009	0.240907	0.3	ground	0	down
121	69.344	-1.32333	6.95086	0.840065	0.862088	4.73294	1.72712	2.74037	2.9751	2.38367	3.76647	1.01307	0.933377	1.49548	0.95138	0.986427	0.882729	0.069898	0.3	ground	0	down
122	69.885	0.250374	7.85185	0.969098	0.884774	5.39857	1.78891	3.0178	3.946	1.81338	4.82982	1.26136	0.731268	1.54682	0.986858	0.996834	0.880564	0.18561	0.3	ground	0	down
123	70.401	0.546257	5.46323	0.909101	0.919465	5.17395	1.9305	2.68011	2.87756	2.40687	1.7637	0.486871	0.973466	1.32424	1.05809	0.995105	0.902035	0.0695898	0.6	ground	0	down
124	70.882	0.0153584	4.08737	0.996256	0.937971	4.45935	1.92308	2.31886	3.32086	1.47474	2.23883	0.642574	0.621543	1.12929	1.04836	0.994157	0.856191	0.0681132	0.45	ground	0	down
125	71.399	-0.750582	2.18715	0.744502	0.891804	3.26143	2.08768	1.56222	3.12445	2.04878	4.55626	1.26867	0.875432	0.779448	1.12259	0.996244	0.772365	0.0652822	0.3	ground	0	down
126	71.938	-1.30567	0.0438084	0.0324632	0.730284	2.81412	1.67224	1.68285	3.69482	2.21405	7.64325	1.91246	0.951181	0.853315	0.908357	0.99586	0.65216	0.147016	0.3	ground	0	ground
127	72.419	0.0795762	-0.110886	0.58219	0.652903	1.63315	2.17391	0.75125	1.99275	1.39386	5.25661	1.27508	0.623845	0.406072	1.15989	0.996908	0.564092	0.110091	0.4	ground	0	ground
128	73.054	0.757889	1.7609	0.699106	0.610904	2.01209	1.66113	1.21128	1.59765	1.99091	2.89315	0.723357	0.900878	0.678144	0.896485	0.603017	0.715229	0.0422574	0.55	ground	0	ground
