time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.463	-1.05508	-0.304847	3.10463	-0.910052	0.336735	3.90399	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.6714	1.22904	0.442359	ground	0	ground	0	-1	2
1.482	-2.48298	0.436607	4.83303	-2.32627	1.0728	5.60423	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.86804	1.29568	0.572367	ground	0	ground	0	-1	2
1.502	-2.33419	0.987132	4.35319	-2.16659	1.61521	5.09876	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	2.02958	1.36601	0.663566	ground	0	ground	0	-1	2
1.521	-0.63382	0.828294	1.84849	-0.463887	1.44909	2.5811	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	2.05716	1.37379	0.683367	ground	0	ground	0	-1	2
1.54	0.700664	0.725703	-0.523192	0.866244	1.33976	0.208368	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.96472	1.38487	0.579846	ground	0	ground	0	-1	2
1.559	1.05756	0.801672	-2.01084	1.21703	1.40865	-1.27289	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.93013	1.40871	0.521419	ground	0	ground	0	-1	2
1.58	0.732565	0.930288	-2.14932	0.887569	1.52958	-1.40431	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.90383	1.42669	0.477141	ground	0	ground	0	-1	2
1.599	-0.006854	0.697557	-1.4225	0.147409	1.29037	-0.674104	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.84235	1.4203	0.422052	ground	0	ground	0	-1	2
1.617	-0.655176	0.659857	-0.772248	-0.498408	1.2464	-0.0237279	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.75142	1.4164	0.335017	ground	0	ground	0	-1	2
1.636	-1.04175	0.979541	-0.574704	-0.880555	1.55826	0.172947	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.67249	1.43507	0.237422	ground	0	ground	0	-1	2
1.655	-1.02369	0.992797	-0.656476	-0.858189	1.56366	0.0907191	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.59341	1.4525	0.140902	ground	0	ground	0	-1	2
1.675	-0.791536	0.609742	-0.848156	-0.6229	1.1747	-0.100456	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.51876	1.44636	0.0723985	ground	0	ground	0	-1	2
1.694	-0.39567	0.298595	-1.30676	-0.225899	0.859234	-0.556266	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.47063	1.41846	0.0521703	ground	0	ground	0	-1	2
1.713	-0.038977	0.381926	-2.21815	0.13014	0.937852	-1.46032	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.47012	1.39488	0.0752357	ground	0	ground	0	-1	2
1.733	0.5045	0.600507	-3.1001	0.670249	1.15065	-2.33055	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.51314	1.39172	0.12142	ground	0	ground	0	-1	2
1.752	0.985187	0.426384	-3.07634	1.14518	0.971645	-2.29527	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.55225	1.39723	0.15502	ground	0	ground	0	-1	2
1.771	1.24075	-0.146098	-2.59761	1.39374	0.397167	-1.80745	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.56501	1.39982	0.165181	ground	0	ground	0	-1	2
1.79	1.31568	-0.794035	-1.9638	1.46133	-0.249516	-1.16777	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.54514	1.40396	0.141186	ground	0	ground	0	-1	2
1.81	1.01784	-0.836504	-1.54073	1.15767	-0.290525	-0.740981	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.50494	1.39344	0.111498	ground	0	ground	0	-1	2
1.83	0.646227	-0.603989	-1.28411	0.782126	-0.0577201	-0.481939	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.45379	1.36298	0.090807	ground	0	ground	0	-1	2
1.849	0.310786	-0.600095	-0.380419	0.444452	-0.0535569	0.419647	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.40208	1.31721	0.0848656	ground	0	ground	0	-1	2
1.868	0.489882	-1.27079	0.390536	0.62043	-0.720636	1.18465	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.39121	1.2989	0.0923088	ground	0	ground	0	-1	2
1.888	-0.034688	-0.011492	-0.27938	0.0953807	0.535974	0.51216	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.34726	1.26117	0.0860816	ground	0	ground	0	-1	2
1.906	0.112802	0.182506	0.056648	0.241656	0.726322	0.843947	1	1.99446	1.44937	0.667491	0.112343	1.43998	1.7267	1.85529	2.67157	3.5996	99	0.757817	0.0197988	1.32209	1.23639	0.0857014	ground	0	ground	0	-1	2
1.936	0.136474	0.120396	1.34156	0.264002	0.660891	2.11821	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.3619	1.21015	0.151744	ground	0	ground	1	3	3
